juvenile;mother;treatment;mother_treatment_duration;hutch_date;incubation_time;svl;tail_length;head_height;head_width;head_length;body_mass;speed_age;max_sprint_speed;sprint_quality_race1;sprint_quality_race2;mass_in_climb;max_climb_speed;climb_quality_race1;climb_quality_race2;dispersal_age;dispersal_score;dispersal_setup;observations
4-fm13;fm13;provitamin;25;25-ago;36;27,01;41,09;3,64;4,04;7,67;0,511;18;0,873554775;5;5;0,548;0,2046664;4;4;35;12;8;
4-fm14;fm14;provitamin;25;01-sep;38;25,62;39,68;3,28;4,48;6,83;0,487;5;0,714543496;3;2;;;2;1;;;1;
4-fm15;fm15;vitamin;25;01-sep;35;28,42;39,99;3,78;4,71;7;0,536;2;0,894988635;4;3;0,624;0,528475421;5;4;28;5;4;
4-fm17;fm17;vitamin;25;28-ago;38;25,53;38,03;3,16;3,87;6,8;0,435;8;0,837950924;5;3;0,513;0,435628751;4;4;32;0;1;
4-fm20;fm20;Control;19;16-ago;36;27,7;40,01;3,36;4,52;7,34;0,478;21;0,711263775;4;3;;;;;;;;
4-fm21;fm21;Control;20;26-ago;40;26,95;45,68;3,6;4,55;6,61;0,52;18;0,637953397;4;4;0,629;0,232217196;2;4;34;14;5;
4-fm22;fm22;Control;25;31-ago;41;24,4;37,71;3,53;4,49;6,87;0,426;13;0,685409714;4;3;;0,300843329;3;3;29;2;2;
4-fm23;fm23;Control;25;25-ago;35;27,66;41,19;3,34;4,56;7,45;0,522;14;0,673761945;3;2;0,546;0,388651931;3;3;35;4;3;
4-fm25;fm25;Control;20;23-ago;37;26,96;48,75;3,83;4,9;7,74;0,581;11;0,767129695;0;4;0,804;0,329519413;4;2;37;4;8;
4-fm27;fm27;Control;19;24-ago;38;26,24;37,52;3,02;4,58;6,7;0,48;15;0,738278325;2;4;0,451;0,292109134;4;3;36;9;3;
4-fm28;fm28;Control;25;31-ago;34;26,53;38,26;3,6;4,94;6,92;0,543;3;0,708445416;4;2;0,692;0,432550827;5;3;29;0;3;
